Name,Value,Min,Max,Type,Description
__indicatorName,BB Strategy,,,,Strategy identifier
=== ENTRY CRITERIA ===
Enable Long Trades,true,false,true,bool,Allow long entries
Enable Short Trades,true,false,true,bool,Allow short entries
Bollinger Band Length,30,20,100,int,Lookback period for BB
Bollinger Band StdDev,2.0,1.5,3.0,float,StdDev multiplier for BB width
Long Entry on Wick Touch,false,false,true,bool,Enter if low touches lower band
Long Entry on Body in Zone,true,false,true,bool,Enter if close ≤ lower band
Long Trigger (% From Lower Band),0.0,0.0,2.0,float,% below lower band to trigger (min 0.1% to avoid band extremes)
Short Entry on Wick Touch,false,false,true,bool,Enter if high touches upper band
Short Entry on Body in Zone,true,false,true,bool,Enter if close ≥ upper band
Short Trigger (% From Upper Band),0.0,0.0,2.0,float,% above upper band to trigger (min 0.1% to avoid band extremes)
Min ATR Filter (Points),2.0,2.0,10,float,Minimum ATR value to allow entries (min 2.0 to avoid low volatility trades)
RTH Start (HH:MM),09:30,00:00,23:59,str,Regular trading hours start (Eastern Time)
RTH End (HH:MM),16:00,00:00,23:59,str,Regular trading hours end (Eastern Time)
Enable RTH Filter,true,false,true,bool,Restrict entries to RTH only
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close)
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods
Daily Maintenance Start (HH:MM),17:00,00:00,23:59,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET)
Daily Maintenance End (HH:MM),17:30,00:00,23:59,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET)
Weekend Maintenance Start Day,4,0,6,int,"Weekend maintenance start day (0=Mon, 4=Fri, 6=Sun)"
Weekend Maintenance Start Time (HH:MM),17:00,00:00,23:59,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET)
Weekend Maintenance End Day,6,0,6,int,"Weekend maintenance end day (0=Mon, 4=Fri, 6=Sun)"
Weekend Maintenance End Time (HH:MM),18:00,00:00,23:59,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET)
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading
Min Volume Multiplier,1.2,0.5,1.8,float,Volume filter - reduced to be less restrictive (1.0 = no filter)
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes
Max Open Trades,1,1,1,int,Maximum concurrent positions
=== TAKE PROFIT CRITERIA ===
Opposite Bollinger Band TP,false,false,true,bool,DYNAMIC: Exit at current opposite BB
Fixed ATR TP,false,false,true,bool,FIXED: Entry ± (ATR × Multiplier)
Fixed BB at Entry TP,true,false,true,bool,FIXED: Upper BB at entry (long)
ATR Length for TP,26,15,80,int,ATR period for fixed TP
ATR Multiplier for TP,2.0,1.0,5.0,float,Fixed TP ATR multiplier - reduced max to prevent overfitting
=== STOP LOSS CRITERIA ===
Initial Stop Loss (%),0.5,0.5,2,float,Fixed stop loss % - wider range for better generalization
Enable Trailing Stop,true,false,true,bool,Use ATR trailing stop
ATR Length for Trailing Stop,26,10,100,int,ATR period for trailing
ATR Multiplier for Trailing Stop,2.0,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting
Trailing Delay (bars),5,0,20,int,Bars before trailing stop begins tightening (0 = immediate)
=== GA CRITERIA ===
POP_SIZE,120,100,150,int,Population size - reduced to prevent overfitting
NUM_GEN,60,50,75,int,Number of generations - reduced to prevent overfitting
CX_PB,0.7,0.5,0.9,float,Crossover probability
MUT_PB,0.35,0.2,0.5,float,Mutation probability
MUT_MU,0.0,-1.0,1.0,float,Mutation mean
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev
TARGET_TRADES_DAY,3,1,4,int,Ideal trades/day - reduced to be more realistic
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management
DATA_SPLITS,0.65,0.60,0.70,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS)
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset)
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended
MIN_TRADES_DAY,1,0.5,2.0,float,MUST have at least 0.3 trades/day - further relaxed due to interleaved split reducing effective trading days
MIN_TRADES_PEN_WEIGHT,-100.0,-200.0,-50.0,float,Scalar penalty — zero trades = -100
